Output from Radio_Raw_Data_Test.ino
7/9/15
Used MoteinoMega that was located on kitchen table
Davis ISS had a new battery




Davis ISS Radio test for MoteinoMega
RxTime	RSSI	chan	crc err	ID	packet
2686	-60	18	4	3	82 00 82 29 AA 00 85 D2 
Got CRC error. E2 00 41 40 01 80 36 88    Seconds since last error: 210    Minutes running: 10.54

5374	-62	20	5	3	52 00 82 FF 72 00 6A DC 
2686	-63	21	5	3	A2 00 82 E0 2A 00 13 24 
2687	-67	22	5	3	82 00 82 29 AA 00 85 D2 
2686	-65	23	5	3	E2 00 82 80 02 00 6D 10 
2686	-58	24	5	3	52 00 82 FF 72 00 6A DC 
2686	-65	25	5	3	A2 00 82 E0 2A 00 13 24 
2686	-59	26	5	3	82 00 82 29 AA 00 85 D2 
2686	-61	27	5	3	E2 00 82 80 02 00 6D 10 
2686	-66	28	5	3	52 00 82 FF 72 00 6A DC 
2686	-67	29	5	3	62 00 82 FF C2 00 5B 5D 
RxTime	RSSI	chan	crc err	ID	packet
2686	-60	30	5	3	82 00 82 29 AA 00 85 D2 
2674	-58	31	5	3	E2 00 82 80 02 00 6D 10 
2687	-67	32	5	3	52 00 82 FF 72 00 6A DC 
2686	-63	33	5	3	42 00 82 FF C2 00 6E 55 
2686	-58	34	5	3	82 00 82 29 AA 00 85 D2 
2687	-67	35	5	3	E2 00 82 80 02 00 6D 10 
2686	-72	36	5	3	52 00 82 FF 72 00 6A DC 
2686	-64	37	5	3	92 00 82 01 02 18 B7 DF 
2687	-57	38	5	3	82 00 82 29 AA 00 85 D2 
2686	-59	39	5	3	E2 00 82 80 02 00 6D 10 
2686	-67	40	5	3	52 00 82 FF 72 00 6A DC 
2686	-59	41	5	3	A2 00 82 E2 2A 00 7D 44 
2686	-63	42	5	3	82 00 82 29 AA 00 85 D2 
Got CRC error. 0E E1 1F 9E 69 32 B7 E0    Seconds since last error: 61    Minutes running: 11.58

72566	-57	18	6	3	62 00 65 FF C1 00 DB C9 
2686	-71	19	6	3	82 00 65 29 A9 00 05 46 
2686	-59	20	6	3	E2 00 65 80 01 00 ED 84 
2686	-61	21	6	3	52 00 65 FF 71 00 EA 48 
2686	-66	22	6	3	42 00 65 FF C1 00 EE C1 
2687	-67	23	6	3	82 00 65 29 A9 00 05 46 
2686	-57	24	6	3	E2 00 65 80 01 00 ED 84 
2686	-71	25	6	3	52 00 65 FF 71 00 EA 48 
2687	-62	26	6	3	92 00 65 01 01 07 D4 95 
RxTime	RSSI	chan	crc err	ID	packet
2687	-66	27	6	3	82 00 65 29 A9 00 05 46 
2675	-75	28	6	3	E2 00 65 80 01 00 ED 84 
2687	-67	29	6	3	52 00 65 FF 71 00 EA 48 
2686	-62	30	6	3	A2 00 65 E7 29 00 16 20 
2686	-61	31	6	3	82 00 65 29 A9 00 05 46 
2687	-63	32	6	3	E2 00 65 80 01 00 ED 84 
2686	-66	33	6	3	52 00 65 FF 71 00 EA 48 
2686	-58	34	6	3	A2 00 65 E7 29 00 16 20 
2686	-70	35	6	3	82 00 65 29 A9 00 05 46 
2686	-77	36	6	3	E2 00 65 80 01 00 ED 84 
2686	-66	37	6	3	52 00 65 FF 71 00 EA 48 
2686	-57	38	6	3	62 00 65 FF C1 00 DB C9 
2687	-63	39	6	3	82 00 65 29 A9 00 05 46 
2686	-72	40	6	3	E2 00 65 80 01 00 ED 84 
2686	-62	41	6	3	52 00 65 FF 71 00 EA 48 
2687	-63	42	6	3	42 00 65 FF C1 00 EE C1 
Got CRC error. E4 0D 9E 0A 5A A1 9C 85    Seconds since last error: 138    Minutes running: 13.88

72566	-60	18	7	3	52 00 65 FF 71 00 EA 48 
2686	-72	19	7	3	A2 00 65 EF 29 00 BF 81 
2687	-62	20	7	3	82 00 65 29 A9 00 05 46 
2686	-63	21	7	3	E2 00 65 80 01 00 ED 84 
2686	-68	22	7	3	52 00 65 FF 71 00 EA 48 
2687	-65	23	7	3	A2 00 65 EF 29 00 BF 81 
RxTime	RSSI	chan	crc err	ID	packet
2687	-62	24	7	3	82 00 65 29 A9 00 05 46 
2674	-70	25	7	3	E2 00 65 80 01 00 ED 84 
2687	-60	26	7	3	52 00 65 FF 71 00 EA 48 
2686	-59	27	7	3	62 00 65 FF C1 00 DB C9 
2686	-71	28	7	3	82 00 65 29 A9 00 05 46 
2686	-66	29	7	3	E2 00 65 80 01 00 ED 84 
2685	-64	30	7	3	52 00 65 FF 71 00 EA 48 
2685	-59	31	7	3	42 00 65 FF C1 00 EE C1 
2685	-68	32	7	3	82 00 65 29 A9 00 05 46 
2686	-60	33	7	3	E2 00 65 80 01 00 ED 84 
