Output from Radio_Raw_Data_Test.ino
7/9/15
Used MoteinoMega that was located on kitchen table
Davis ISS had a new battery
Changed ID to 1 to see if CRC errors would get better, but it didn't help
got an error every 130 seconds on average
Packet interval was set too 2562



Davis ISS Radio test for MoteinoMega
RxTime	RSSI	chan	crc err	ID	packet
2561	-56	44	1	1	80 00 90 2B 69 00 D5 3A 
2563	-63	45	1	1	E0 00 90 80 01 00 45 CC 
2561	-56	46	1	1	50 00 90 FF 71 00 42 00 
2561	-64	47	1	1	60 00 90 FF C1 00 73 81 
2561	-56	48	1	1	80 00 90 2B 69 00 D5 3A 
Got CRC error. 03 5D 17 5F 1D 7E 21 6D    Seconds since last error: 279    Minutes running: 8.56

5124	-68	50	2	1	50 00 90 FF 71 00 42 00 
2561	-58	0	2	1	40 00 90 FF C1 00 46 89 
2561	-55	1	2	1	80 00 90 2B 69 00 D5 3A 
2561	-57	2	2	1	E0 00 90 80 01 00 45 CC 
2561	-64	3	2	1	50 00 90 FF 71 00 42 00 
2562	-56	4	2	1	90 00 90 04 01 6C 4A E0 
2561	-56	5	2	1	80 00 90 2B 69 00 D5 3A 
RxTime	RSSI	chan	crc err	ID	packet
2561	-71	6	2	1	E0 00 91 80 01 00 33 78 
2549	-62	7	2	1	50 00 91 FF 73 00 52 D6 
2561	-57	8	2	1	A0 00 91 C2 2B 00 C3 88 
2561	-60	9	2	1	80 00 91 2B 6B 00 C5 EC 
2562	-57	10	2	1	E0 00 92 80 01 00 A8 A4 
2561	-57	11	2	1	50 00 92 FF 71 00 AF 68 
Got CRC error. E0 01 A3 C2 28 00 FD 0B    Seconds since last error: 36    Minutes running: 9.16

5124	-63	13	3	1	80 00 A3 2B 69 00 62 0F 
2561	-56	14	3	1	E0 00 A3 80 01 00 F2 F9 
2561	-57	15	3	1	50 00 A3 FF 71 00 F5 35 
2561	-67	16	3	1	60 00 A3 FF C1 00 C4 B4 
2562	-73	17	3	1	80 00 A3 2B 69 00 62 0F 
2561	-56	18	3	1	E0 00 A3 80 01 00 F2 F9 
2561	-65	19	3	1	50 00 A3 FF 71 00 F5 35 
2561	-65	20	3	1	40 00 A3 FF C1 00 F1 BC 
2561	-64	21	3	1	80 00 A3 2B 69 00 62 0F 
2562	-65	22	3	1	E0 00 A3 80 01 00 F2 F9 
2561	-59	23	3	1	50 00 A3 FF 71 00 F5 35 
2561	-64	24	3	1	90 00 A3 04 01 7C EF E4 
2561	-58	25	3	1	80 00 A3 2B 69 00 62 0F 
2562	-63	26	3	1	E0 00 A3 80 01 00 F2 F9 
2562	-64	27	3	1	50 00 A3 FF 71 00 F5 35 
2561	-65	28	3	1	A0 00 A3 BC 29 00 A7 62 
RxTime	RSSI	chan	crc err	ID	packet
2561	-60	29	3	1	80 00 A3 2B 69 00 62 0F 
2549	-63	30	3	1	E0 00 A3 80 01 00 F2 F9 
2561	-64	31	3	1	50 00 A3 FF 71 00 F5 35 
2561	-66	32	3	1	A0 00 A3 BC 29 00 A7 62 
2561	-67	33	3	1	80 00 A3 2B 69 00 62 0F 
2561	-66	34	3	1	E0 00 A3 80 01 00 F2 F9 
2561	-64	35	3	1	50 00 A2 FF 73 00 E5 E3 
2561	-64	36	3	1	60 00 A2 FF C3 00 D4 62 
2561	-67	37	3	1	80 00 8A 2B 6B 00 C0 54 
2561	-65	38	3	1	E0 01 77 80 03 00 5C 38 
2561	-63	39	3	1	50 00 77 FF 73 00 F1 A5 
2562	-69	40	3	1	40 00 78 FF C3 00 21 C2 
2561	-70	41	3	1	80 00 7B 2B 6B 00 29 AD 
2561	-68	42	3	1	E0 00 7B 80 03 00 B9 5B 
Got CRC error. EA FE 2C ED 2E C4 5F B3    Seconds since last error: 78    Minutes running: 10.47

69190	-63	18	4	1	80 00 6F 2B 69 00 9E 99 
2561	-62	19	4	1	E0 00 79 80 01 00 32 51 
2562	-64	20	4	1	50 02 70 FF 73 00 E4 0B 
2561	-64	21	4	1	A0 02 6D C2 29 00 31 16 
2561	-66	22	4	1	80 03 6D 2B 68 00 AE 12 
2562	-64	23	4	1	E0 04 6C 80 03 00 7A D7 
2561	-63	24	4	1	50 04 6F FF 73 00 E6 C7 
2562	-59	25	4	1	60 03 6F FF C3 00 B0 92 
RxTime	RSSI	chan	crc err	ID	packet
2562	-66	26	4	1	80 02 70 2B 69 00 15 53 
2550	-68	27	4	1	E0 01 70 80 01 00 6B 77 
2561	-64	28	4	1	50 00 70 FF 71 00 C6 EA 
2561	-59	29	4	1	40 00 70 FF C1 00 C2 63 
2561	-63	30	4	1	80 00 70 2B 69 00 51 D0 
2561	-63	31	4	1	E0 00 70 80 01 00 C1 26 
2561	-62	32	4	1	50 00 70 FF 71 00 C6 EA 
2562	-64	33	4	1	90 00 70 04 01 07 13 C7 
2561	-68	34	4	1	80 00 70 2B 79 00 52 A3 
2561	-66	35	4	1	E0 00 70 80 01 00 C1 26 
2561	-61	36	4	1	50 00 70 FF 71 00 C6 EA 
2561	-65	37	4	1	A0 00 70 C5 29 00 D2 24 
2562	-64	38	4	1	80 00 70 2B 79 00 52 A3 
2561	-63	39	4	1	E0 00 70 80 01 00 C1 26 
2561	-63	40	4	1	50 00 70 FF 71 00 C6 EA 
2561	-64	41	4	1	A0 00 70 C5 29 00 D2 24 
2561	-60	42	4	1	80 00 70 2B 69 00 51 D0 
Got CRC error. C8 26 B8 F9 72 3A 2F FD    Seconds since last error: 131    Minutes running: 12.66

69190	-74	18	5	1	40 03 82 FF C1 00 5E 94 
2561	-60	19	5	1	80 03 7E 2B 7B 00 78 49 
2561	-65	20	5	1	E0 06 87 80 01 00 C2 C3 
2561	-85	21	5	1	50 06 89 FF 71 00 67 55 
2561	-72	22	5	1	90 05 9D 06 03 09 64 30 
RxTime	RSSI	chan	crc err	ID	packet
2561	-69	23	5	1	80 04 96 2B 7B 00 1E B4 
2549	-76	24	5	1	E0 03 7C 80 01 00 60 C6 
2561	-60	25	5	1	50 05 B8 FF 71 00 D3 DA 
2562	-74	26	5	1	A0 04 95 C9 28 00 25 DD 
2561	-65	27	5	1	80 03 97 2B 79 00 69 B6 
2561	-70	28	5	1	E0 01 97 80 01 00 BE B0 
2561	-62	29	5	1	50 00 97 FF 71 00 13 2D 
2561	-69	30	5	1	A0 00 97 C9 29 00 72 82 
2561	-74	31	5	1	80 00 97 2B 79 00 87 64 
2561	-68	32	5	1	E0 00 97 80 01 00 14 E1 
2561	-69	33	5	1	50 00 97 FF 71 00 13 2D 
2561	-72	34	5	1	60 00 94 FF C3 00 DF 12 
2561	-67	35	5	1	80 00 94 2B 7B 00 7A DA 
2561	-66	36	5	1	E0 00 94 80 03 00 E9 5F 
2561	-68	37	5	1	50 00 7E FF 73 00 02 D2 
2561	-68	38	5	1	40 03 84 FF C3 00 1F 6F 
2562	-72	39	5	1	80 05 6C 2B 79 00 25 61 
2561	-72	40	5	1	E0 05 6E 80 00 00 68 BD 
2561	-70	41	5	1	50 04 71 FF 71 00 39 58 
2561	-69	42	5	1	90 03 76 06 00 19 74 22 
2561	-74	43	5	1	80 01 76 2B 79 00 DF 6B 
2562	-66	44	5	1	E0 00 76 80 01 00 E6 BF 
RxTime	RSSI	chan	crc err	ID	packet
2562	-72	45	5	1	50 00 76 FF 71 00 E1 73 
2550	-66	46	5	1	A0 00 76 C0 29 00 1E 4D 
2561	-69	47	5	1	80 00 76 2B 69 00 76 49 
2561	-69	48	5	1	E0 00 76 80 01 00 E6 BF 
2561	-73	49	5	1	50 00 76 FF 71 00 E1 73 
2561	-66	50	5	1	A0 00 76 C0 29 00 1E 4D 
2561	-66	0	5	1	80 00 76 2B 79 00 75 3A 
2562	-64	1	5	1	E0 00 76 80 03 00 80 DD 
2561	-68	2	5	1	50 01 8F FF 73 00 41 7A 
2561	-70	3	5	1	60 00 9C FF C1 00 3C B3 
2561	-71	4	5	1	80 00 9C 2B 79 00 99 7B 
2561	-68	5	5	1	E0 00 9C 80 01 00 0A FE 
2562	-63	6	5	1	50 00 9C FF 71 00 0D 32 
2561	-67	7	5	1	40 00 9C FF C3 00 6F D9 
2561	-65	8	5	1	80 00 9C 2B 69 00 9A 08 
2561	-64	9	5	1	E0 00 9C 80 01 00 0A FE 
2561	-68	10	5	1	50 00 9C FF 71 00 0D 32 
2561	-59	11	5	1	90 00 9C 06 01 29 73 D3 
2561	-68	12	5	1	80 00 9C 2B 69 00 9A 08 
2561	-64	13	5	1	E0 00 8F 80 03 00 EC E7 
2562	-65	14	5	1	50 00 8F FF 73 00 EB 2B 
2561	-63	15	5	1	A0 00 8F C1 2B 00 23 25 
RxTime	RSSI	chan	crc err	ID	packet
2561	-70	16	5	1	80 00 8F 2B 6B 00 7C 11 
2549	-71	17	5	1	E0 00 8F 80 03 00 EC E7 
2561	-64	18	5	1	50 00 8F FF 73 00 EB 2B 
2562	-66	19	5	1	A0 00 8F C1 2B 00 23 25 
2561	-71	20	5	1	80 00 8E 2B 6B 00 0A A5 
2561	-65	21	5	1	E0 00 8E 80 03 00 9A 53 
2561	-81	22	5	1	50 00 8E FF 73 00 9D 9F 
2561	-74	23	5	1	60 00 8E FF C3 00 AC 1E 
2561	-67	24	5	1	80 00 8E 2B 6B 00 0A A5 
2561	-71	25	5	1	E0 00 8E 80 03 00 9A 53 
2561	-64	26	5	1	50 00 8E FF 73 00 9D 9F 
2562	-84	27	5	1	40 00 8E FF C3 00 99 16 
2561	-77	28	5	1	80 00 8E 2B 6B 00 0A A5 
2561	-65	29	5	1	E0 00 8E 80 03 00 9A 53 
2561	-59	30	5	1	50 00 8E FF 71 00 FB FD 
2561	-68	31	5	1	90 00 8E 06 03 39 F1 4F 
