Output from Radio_Raw_Data_Test.ino
7/9/15
Used MoteinoMega that was located on kitchen table
Davis ISS had a new battery
Changed ID to 1 to see if CRC errors would get better, but it didn't help
got an error every 120 seconds on average
Packet interval was set too 2555




Davis ISS Radio test for MoteinoMega
RxTime	RSSI	chan	crc err	ID	packet
2561	-64	42	5	1	A0 00 71 0E 39 00 71 E5 
Got CRC error. C5 0E 49 FB 36 CD 9E F1    Seconds since last error: 16    Minutes running: 12.24

Got CRC error. D2 4A 98 66 DD 33 D0 02    Seconds since last error: 0    Minutes running: 12.26

Got CRC error. 7F 78 0F D9 AD 43 75 11    Seconds since last error: 3    Minutes running: 12.31

74317	-66	20	8	1	80 00 81 2A 7B 00 EA 08 
2561	-59	21	8	1	E0 00 81 80 03 00 4E BD 
2561	-69	22	8	1	50 00 81 FF 73 00 49 71 
2561	-62	23	8	1	40 00 81 FF C3 00 4D F8 
2561	-63	24	8	1	80 00 81 2A 7B 00 EA 08 
2561	-60	25	8	1	E0 00 81 80 03 00 4E BD 
2562	-60	26	8	1	50 00 81 FF 73 00 49 71 
2561	-68	27	8	1	90 00 81 02 03 18 CD 22 
2561	-66	28	8	1	80 00 86 2A 7B 00 BB 25 
2561	-59	29	8	1	E0 00 86 80 03 00 1F 90 
2561	-61	30	8	1	50 00 86 FF 73 00 18 5C 
2562	-63	31	8	1	A0 00 86 05 3B 00 29 16 
RxTime	RSSI	chan	crc err	ID	packet
2561	-64	32	8	1	80 00 86 2A 7B 00 BB 25 
2550	-67	33	8	1	E0 00 86 80 03 00 1F 90 
2561	-63	34	8	1	50 00 86 FF 73 00 18 5C 
2561	-64	35	8	1	A0 00 86 05 3B 00 29 16 
Got CRC error. 01 01 0C BF EC 01 D8 2D    Seconds since last error: 110    Minutes running: 14.15

5124	-64	37	9	1	E0 00 86 80 03 00 1F 90 
2561	-65	38	9	1	50 00 86 FF 73 00 18 5C 
2562	-64	39	9	1	60 00 86 FF C3 00 29 DD 
2561	-65	40	9	1	80 00 86 2A 7B 00 BB 25 
2561	-58	41	9	1	E0 00 86 80 03 00 1F 90 
2561	-67	42	9	1	50 00 86 FF 73 00 18 5C 
2561	-67	43	9	1	40 00 86 FF C3 00 1C D5 
2562	-62	44	9	1	80 00 86 2A 7B 00 BB 25 
2561	-65	45	9	1	E0 00 86 80 03 00 1F 90 
2561	-61	46	9	1	50 00 86 FF 73 00 18 5C 
2561	-68	47	9	1	90 00 86 02 03 28 AA 5C 
2561	-62	48	9	1	80 00 86 2A 8B 00 A8 E4 
2561	-68	49	9	1	E0 00 86 80 03 00 1F 90 
2561	-63	50	9	1	50 00 86 FF 73 00 18 5C 
2561	-63	0	9	1	A0 00 86 FB 2B 00 D2 36 
2561	-57	1	9	1	80 00 86 2A 8B 00 A8 E4 
2561	-62	2	9	1	E0 00 86 80 03 00 1F 90 
2561	-67	3	9	1	50 00 86 FF 73 00 18 5C 
RxTime	RSSI	chan	crc err	ID	packet
2562	-68	4	9	1	A0 00 86 FB 2B 00 D2 36 
2549	-59	5	9	1	80 00 86 2A 8B 00 A8 E4 
2563	-60	6	9	1	E0 00 86 80 03 00 1F 90 
2561	-68	7	9	1	50 00 86 FF 73 00 18 5C 
2561	-62	8	9	1	60 00 86 FF C3 00 29 DD 
2561	-65	9	9	1	80 00 86 2A 8B 00 A8 E4 
2561	-67	10	9	1	E0 00 86 80 03 00 1F 90 
2562	-61	11	9	1	50 00 86 FF 73 00 18 5C 
2561	-68	12	9	1	40 00 86 FF C3 00 1C D5 
2561	-64	13	9	1	80 00 86 2A 8B 00 A8 E4 
2561	-62	14	9	1	E0 00 86 80 03 00 1F 90 
2561	-60	15	9	1	50 00 86 FF 73 00 18 5C 
2561	-70	16	9	1	90 00 86 02 03 38 B8 6D 
2561	-65	17	9	1	80 00 86 2A 8B 00 A8 E4 
2561	-59	18	9	1	E0 00 86 80 03 00 1F 90 
2562	-63	19	9	1	50 00 86 FF 73 00 18 5C 
2561	-65	20	9	1	A0 00 86 00 3B 00 C2 E6 
2561	-57	21	9	1	80 00 86 2A 8B 00 A8 E4 
2561	-68	22	9	1	E0 00 86 80 03 00 1F 90 
2561	-68	23	9	1	50 00 86 FF 73 00 18 5C 
2562	-62	24	9	1	A0 00 86 00 3B 00 C2 E6 
2561	-62	25	9	1	80 00 86 2A 8B 00 A8 E4 
RxTime	RSSI	chan	crc err	ID	packet
2561	-58	26	9	1	E0 00 86 80 03 00 1F 90 
2549	-74	27	9	1	50 00 86 FF 73 00 18 5C 
2561	-68	28	9	1	60 00 86 FF C3 00 29 DD 
2561	-63	29	9	1	80 00 86 2A 8B 00 A8 E4 
2561	-56	30	9	1	E0 00 86 80 03 00 1F 90 
2561	-62	31	9	1	50 00 92 FF 73 00 C9 0A 
2562	-68	32	9	1	40 01 93 FF C0 00 44 35 
2561	-75	33	9	1	80 00 93 2A 88 00 5A 55 
2561	-59	34	9	1	E0 00 93 80 00 00 ED 21 
2561	-68	35	9	1	50 00 93 FF 70 00 EA ED 
2561	-65	36	9	1	90 00 93 02 00 48 34 4B 
2562	-68	37	9	1	80 00 93 2A 98 00 59 26 
2561	-60	38	9	1	E0 00 93 80 00 00 ED 21 
2561	-64	39	9	1	50 00 93 FF 70 00 EA ED 
2561	-72	40	9	1	A0 00 93 0B 38 00 C0 A6 
2561	-57	41	9	1	80 00 93 2A 98 00 59 26 
2561	-66	42	9	1	E0 00 93 80 00 00 ED 21 
Got CRC error. 03 C5 9D 09 72 66 45 AA    Seconds since last error: 148    Minutes running: 16.62

69190	-59	18	10	1	80 00 93 2A A8 00 5C B3 
2561	-63	19	10	1	E0 00 93 80 00 00 ED 21 
2561	-64	20	10	1	50 00 93 FF 70 00 EA ED 
2561	-58	21	10	1	40 00 93 FF C0 00 EE 64 
2561	-72	22	10	1	80 00 93 2A A8 00 5C B3 
RxTime	RSSI	chan	crc err	ID	packet
2562	-68	23	10	1	E0 00 93 80 00 00 ED 21 
2548	-62	24	10	1	50 00 93 FF 70 00 EA ED 
2562	-64	25	10	1	90 00 93 02 00 68 10 29 
2561	-61	26	10	1	80 00 93 2A A8 00 5C B3 
2561	-70	27	10	1	E0 00 93 80 00 00 ED 21 
2561	-71	28	10	1	50 00 93 FF 70 00 EA ED 
2561	-65	29	10	1	A0 00 93 11 38 00 44 04 
2562	-60	30	10	1	80 00 93 2A A8 00 5C B3 
2561	-64	31	10	1	E0 00 93 80 00 00 ED 21 
2561	-70	32	10	1	50 00 93 FF 70 00 EA ED 
2561	-71	33	10	1	A0 00 93 11 38 00 44 04 
2561	-62	34	10	1	80 00 93 2A A8 00 5C B3 
2561	-70	35	10	1	E0 00 93 80 00 00 ED 21 
2561	-67	36	10	1	50 00 93 FF 70 00 EA ED 
2561	-69	37	10	1	60 00 93 FF C0 00 DB 6C 
2562	-64	38	10	1	80 00 93 2A B8 00 5F C0 
2561	-66	39	10	1	E0 00 93 80 00 00 ED 21 
2561	-69	40	10	1	50 00 93 FF 70 00 EA ED 
2561	-64	41	10	1	40 00 93 FF C0 00 EE 64 
2561	-63	42	10	1	80 00 93 2A B9 00 6C F1 
Got CRC error. F9 96 64 06 FD CF 9C 7C    Seconds since last error: 129    Minutes running: 18.78

Got CRC error. 84 A1 BF B8 D2 1F 5B E0    Seconds since last error: 1    Minutes running: 18.81

71754	-59	19	12	1	80 00 93 2A B9 00 6C F1 
2561	-66	20	12	1	E0 00 93 80 01 00 DE 10 
RxTime	RSSI	chan	crc err	ID	packet
2562	-61	21	12	1	50 00 93 FF 71 00 D9 DC 
2548	-70	22	12	1	A0 00 93 01 39 00 34 56 
2561	-60	23	12	1	80 00 93 2A B9 00 6C F1 
2561	-63	24	12	1	E0 00 93 80 01 00 DE 10 
2561	-58	25	12	1	50 00 93 FF 71 00 D9 DC 
2561	-66	26	12	1	60 00 93 FF C1 00 E8 5D 
2561	-67	27	12	1	80 00 93 2A B9 00 6C F1 
2561	-65	28	12	1	E0 00 93 80 01 00 DE 10 
2561	-59	29	12	1	50 00 93 FF 71 00 D9 DC 
2561	-64	30	12	1	40 00 93 FF C1 00 DD 55 
2563	-63	31	12	1	80 00 93 2A B9 00 6C F1 
